Record,Date,UTC Time,Personer
         1, 1/25/2021,19:43:00,          4
         2, 1/25/2021,20:43:01,          4
         3, 1/25/2021,21:43:02,          4
         4, 1/25/2021,22:43:03,          7
         5, 1/25/2021,23:43:04,         11
         6, 1/26/2021, 0:43:05,         11
         7, 1/26/2021, 1:43:06,         9
         8, 1/26/2021, 2:43:07,         11
         9, 1/26/2021, 3:43:08,         11
        10, 1/26/2021, 4:43:09,         13
        11, 1/26/2021, 5:43:10,         11
        12, 1/26/2021, 6:43:11,         0
        13, 1/26/2021, 7:43:12,         5
        14, 1/26/2021, 8:43:13,          1
